Device Info,Time,Longitude,Latitude,IMEI,EnvT_t,EngDa_tiEngOn,GlbDa_lTotDst,FlSys_dvolFlCons,FBR_qArr_[0],FBR_qArr_[1],FBR_qArr_[2],FBR_qArr_[3],FBR_qArr_[4],FBR_qArr_[5],DIUMPR_rValRatMin_[7],AFS_dm,AirCtl_mActVal_mp,EGRVlv_rAct,Air_tCACDs,Air_pIntkVUs,PCR_pActVal_mp,CEngDsT_t,APP_rFlt_mp,Epm_nEng,VehV_v,InjCtl_qSetUnBal,TCD_tqPahSet_f,CoETS_stCurrLimActive,Rail_pSetPoint,RailP_pFlt,MeUn_iActFlt,PRV_st,CoEOM_stOpModeAct,Exh_tOxiCatUs,Exh_tPFltUs,ETCtl_dmFuOpnLop,ETCtl_st,ETCtl_dmFuStFdbk,ETCtl_tObsvrCor,DPM_rSV,HCIMon_dqAct,ETCtl_tAdpnCatDs,ETCtl_tOutrDes,PFltPOp_stEngPOp,ASMod_dmSotEngNrm2_mp,ASMod_dmSotEngNrm_mp,PFltLd_dmSotSimRgnNO2_mp,PFltLd_dmSotSimRgnThr_mp,PFltLd_dmSotSim,PFltLd_mSotSim,PFltLd_mSot,ASMod_dmEGFld_[0],EGRClg_etaCalc_mp,CAClg_etaCalcB2_mp,Exh_pFltPPFltDiff,Exh_iPPDsIDEFild,ChrSet_facDynDetnBoostP_mp,ChrSet_facPrioLamO2Wght_mp,InjCrv_phiMI1Des,Exh_tAdapTOxiCatUs,Exh_tAdapTPFltUs,HCICtl_stInjOn,ETCtl_tBrickLstMdl_mp,PFlt_tOutrDes,CoHCI_st,HCIMon_pAbsHDVDsP,HCIMon_pAbsHDVUsP,DPM_tFltHDVUsT,HCDosVlv_rPs,HCIMon_stPurgOn,HCIMon_stRgnReq,HCIMon_stSysTst,HCIPOD_tiTotOpHrs,HCIPOD_stDFCEvln,UDC_dmRdcAgAct,SCR_tUCatUsT,SCR_tUCatDsT,ASMod_dmNOxEG,Com_rNOxNoCat2Ds,Com_rNOxNoMCatDs,SCRMod_rNO2NOx,SCRMod_etaEst,SCRFBC_facNOxCtl,SCRAd_stStMAdv,UDC_mRdcAgDosQnt,SCRAd_facQtyAdap,CoSCR_st,CoSCR_stSub,SCR_pUPmpP,SCR_rUTnkLvl,SCR_tUTnkT,UDosVlv_rPs,UPmpMot_rPs,URevVlv_stPs,DFES_numDFC_[3],DFES_numDFC_[4],DFES_numDFC_[5],DFES_numDFC_[6]
RBCD025015,2017-02-23 14:28:21.0,0.0,0.0,864049025991557,4.76,719252.00,9348402.00,10.43,0.00,0.00,0.00,0.00,0.00,0.00,8.00,308.25,2517.00,-0.20,4.36,976.00,986.00,2.36,0.00,636.50,0.00,36.12,406.40,0.00,541000.00,553800.00,1477.00,2.00,1048577.00,2.56,3.16,0.00,32.00,0.00,0.00,0.00,0.00,-21.54,3.16,1.00,0.11,0.11,0.00,0.00,0.11,6.85,6.85,304.25,0.99,0.04,1.00,0.00,0.00,0.00,2.61,3.36,3.16,0.00,4.66,643.96,1.00,1013.00,1110.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.56,2.96,22.00,3076.00,3076.00,0.26,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,41.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:25.0,0.0,0.0,864049025991557,4.76,719255.00,9348402.00,4.91,0.00,0.00,0.00,0.00,0.00,0.00,8.00,310.25,2735.50,0.11,4.66,1041.00,1050.00,1.96,0.00,628.50,0.00,36.40,399.20,0.00,544200.00,549000.00,1433.00,2.00,1048577.00,7.36,3.26,0.00,32.00,0.00,0.00,0.00,0.00,-23.74,3.26,1.00,0.11,0.11,0.00,0.00,0.11,6.85,6.85,313.50,0.99,0.04,1.00,0.00,0.00,0.00,2.59,9.06,3.26,0.00,4.66,643.76,1.00,1013.00,1111.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.66,2.96,25.40,3076.00,3076.00,0.26,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,42.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:29.0,0.0,0.0,864049025991557,4.76,719259.00,9348402.00,6.88,0.00,0.00,0.00,0.00,0.00,0.00,8.00,324.75,2480.00,-0.04,4.76,998.00,1010.00,1.96,21.81,801.00,0.00,63.94,689.20,0.00,965000.00,971800.00,1382.00,2.00,1048577.00,13.06,3.26,0.00,32.00,0.00,0.00,0.00,0.00,-25.74,3.36,1.00,0.17,0.16,0.00,0.00,0.15,6.85,6.85,526.50,0.99,0.00,2.00,0.00,0.00,0.00,1.60,14.76,3.26,0.00,5.86,639.46,1.00,1013.00,1111.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.76,2.96,54.40,3076.00,3076.00,0.36,0.28,1.00,0.00,67740.00,1.00,2.00,255.00,35.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:33.0,0.0,0.0,864049025991557,4.76,719263.00,9348402.00,14.52,0.00,0.00,0.00,0.00,0.00,0.00,8.00,712.75,3052.00,-0.04,5.16,1248.00,1292.00,1.96,37.70,1313.50,0.00,56.40,623.00,0.00,1189400.00,1186800.00,1351.00,2.00,1048577.00,22.66,3.26,0.00,32.00,0.00,0.00,0.00,0.00,-22.44,3.26,1.00,0.25,0.25,0.00,0.00,0.24,6.85,6.85,906.75,0.99,-0.11,6.00,0.00,0.11,0.00,8.28,26.06,3.26,0.00,10.56,640.06,1.00,1013.00,1112.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.76,2.96,113.70,3076.00,3076.00,0.10,0.19,1.00,0.00,67740.00,1.00,2.00,255.00,44.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:37.0,0.0,0.0,864049025991557,4.66,719267.00,9348402.00,17.80,0.00,0.00,0.00,0.00,0.00,0.00,8.00,926.00,3426.00,0.11,5.26,1403.00,1464.00,2.06,48.07,1501.50,0.00,54.42,587.30,0.00,1265600.00,1274800.00,1353.00,2.00,1048577.00,35.06,4.36,0.00,32.00,0.00,0.00,0.00,0.00,-8.94,4.56,1.00,0.24,0.24,0.00,0.00,0.24,6.85,6.85,947.25,0.99,-1.13,6.00,0.00,0.06,0.00,8.42,38.06,5.56,0.00,17.16,639.86,1.00,1012.00,1114.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.76,2.96,123.60,3076.00,3076.00,0.10,0.19,1.00,0.00,67740.00,1.00,2.00,255.00,31.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:41.0,0.0,0.0,864049025991557,4.76,719271.00,9348402.00,16.78,0.00,0.00,0.00,0.00,0.00,0.00,8.00,928.75,3440.50,-0.04,5.36,1406.00,1469.00,2.26,49.19,1500.00,0.00,52.26,571.30,0.00,1260400.00,1267400.00,1356.00,2.00,1048577.00,46.46,13.76,0.00,32.00,0.00,0.00,0.00,0.00,5.66,14.46,1.00,0.24,0.24,0.00,0.00,0.24,6.85,6.85,947.50,0.99,4.00,6.00,0.00,0.03,0.00,8.35,48.36,16.26,0.00,28.86,639.96,1.00,1012.00,1118.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,2.86,3.06,120.50,3076.00,3076.00,0.10,0.19,1.00,0.00,67740.00,1.00,2.00,255.00,49.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:45.0,0.0,0.0,864049025991557,4.76,719275.00,9348402.00,16.43,0.00,0.00,0.00,0.00,0.00,0.00,8.00,926.25,3429.50,0.11,5.76,1406.00,1469.00,2.56,49.56,1500.50,0.00,50.64,547.70,0.00,1253000.00,1252800.00,1359.00,2.00,1048577.00,53.16,21.96,0.00,32.00,0.00,0.00,0.00,0.00,16.66,22.36,1.00,0.24,0.24,0.00,0.00,0.24,6.85,6.85,940.75,0.99,2.64,7.00,0.00,0.09,0.00,8.37,54.86,23.56,0.00,38.36,639.86,1.00,1012.00,1125.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,3.36,3.26,117.50,3076.00,3076.00,0.10,0.19,1.00,0.00,67740.00,1.00,2.00,255.00,-29.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:49.0,0.0,0.0,864049025991557,4.76,719279.00,9348402.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,8.00,719.75,3701.00,0.11,5.66,1304.00,1324.00,3.06,0.07,793.00,0.00,14.46,263.30,0.00,525400.00,903400.00,1637.00,2.00,1048577.00,58.86,27.06,0.00,32.00,0.00,0.00,0.00,0.00,23.06,27.36,1.00,0.11,0.11,0.00,0.00,0.11,6.85,6.85,330.75,0.99,2.21,2.00,0.00,0.00,0.00,2.35,59.06,28.26,0.00,44.36,642.96,1.00,1013.00,1128.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,5.06,3.56,24.30,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,30.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:53.0,0.0,0.0,864049025991557,4.76,719283.00,9348402.00,3.86,0.00,0.00,0.00,0.00,0.00,0.00,8.00,287.00,2560.50,-0.04,5.36,1017.00,1024.00,3.26,0.00,622.00,0.00,29.58,332.60,0.00,522400.00,519600.00,1438.00,2.00,1048577.00,57.46,29.56,0.00,32.00,0.00,0.00,0.00,0.00,19.96,29.66,1.00,0.10,0.11,0.00,0.00,0.10,6.85,6.85,288.25,0.99,2.33,2.00,0.00,0.00,0.00,2.50,56.96,29.86,0.00,46.56,643.36,1.00,1013.00,1136.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,7.36,3.76,20.20,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,36.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
RBCD025015,2017-02-23 14:28:57.0,0.0,0.0,864049025991557,4.76,719287.00,9348402.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,283.75,2531.50,-0.04,5.46,1007.00,1014.00,3.66,0.00,621.00,0.00,30.08,339.20,0.00,520800.00,517200.00,1437.00,2.00,1048577.00,56.26,30.06,0.00,32.00,0.00,0.00,0.00,0.00,19.16,30.06,1.00,0.10,0.10,0.00,0.00,0.10,6.85,6.85,285.50,1.00,4.00,2.00,0.00,0.00,0.00,2.55,55.76,30.06,0.00,49.16,643.46,1.00,1013.00,1139.00,3.06,0.00,0.00,0.00,0.00,62652.80,0.00,0.00,10.46,3.96,19.30,3076.00,3076.00,0.25,0.33,1.00,0.00,67740.00,1.00,2.00,255.00,15.00,50.39,1.86,0.00,0.00,0.00,897.00,404.00,899.00,579.00
