Device Info,Time,Longitude,Latitude,IMEI,GlbDa_lTotDst,CEngDsT_t,Air_tCACDs,EnvP_p,EnvT_t,Tra_numGear,FlSys_dvolFlCons,BattU_u,Brk_st,Clth_st,AFS_dm,AFS_mAirPerCylFlt,Air_pCACDs,InjCrv_phiMI1Des,InjCrv_stInjCharActVal_[0],InjUn_stStrt,InjVlv_tiMI1ET,InjVlv_tiPiI1ET,CoETS_stCurrLimActive,EngDa_tiEngOn,Exh_pPFltDiff,ASMod_dmEGFld_[0],ASMod_dmNOxBasLM_mp,ASMod_dmNOxEG,Exh_rNOxNoCat2Ds,Exh_dmNOxNoCat2Ds,Exh_dmNOxNSCDs,MeUn_dvolSet,VehV_v,APP_rFlt,Epm_nEng,InjCtl_qSetUnBal,Rail_pSetPoint,RailP_pFlt,PthSet_trqInrSet,CoVeh_trqAcs,SCRT_tFld_[2],SCR_tUCatUsT,SCRLdG_dmNH3MetAdapDes,DStgy_dmRdcAgDes,MeUn_iActFlt,SCRT_tFld_[0],SCRT_tUCatDsT,SCRFFC_dmNOxUs,SCRMod_dmEstNOxDs,SCRMod_etaEst,UDC_dmRdcAgAct,UDC_mRdcAgDosQntExtdRng,Com_rNOxNoCat2Ds,Com_rNOxNoMCatDs,SCRChk_etaActAvrg1_mp,SCRChk_etaActAvrg2_mp,SCRChk_etaThres1_mp,SCRChk_etaThres2_mp,SCRChk_etaThresAvrg1_mp,SCRChk_etaThresAvrg2_mp,SCRChk_rNOxDsPeakAvrg_mp,SCRChk_rNOxDsPeakAvrgMin_mp,SCRChk_rNOxDsStkDelta_mp,SCRChk_rNOxDsStkDeltaMin_mp,SCRChk_stCond1_mp,SCRChk_stPeakEnaFld_mp,SCRChk_stPeakStM_mp,SCRDev_pUPmp,SCRFBC_facNOxCtl,UDosVlv_ddiBWOpn_mp,UDosVlv_rDyc,T15_st,CoSCR_stSub,SCRRly_flgPs,UPmpMot_tSMHeatrT,UPmpMot_tSMT,UrBackFlowPmp_ratPs,UHtrRly_stPs,UHtrTnk_stPs,UHtrBLDia_uRawDiag_MP,UHtrPLDia_uRawDiag_MP,UHtrSLDia_uRawDiag_MP,UHtrSMDia_uRawDiag_MP,Com_stSensNoCat2Ds,UPmpMot_cntrRstrt_MP,UPmpMot_ratPs,DStgy_stCondDos,DStgy_stMetStgy,DFES_numDFC_[0],DFES_numDFC_[1],DFES_numDFC_[2],DFES_numDFC_[3],DFES_numDFC_[4],DFES_numDFC_[5],DFES_numDFC_[6],DFES_numDFC_[7],DFES_numDFC_[8],DFES_numDFC_[9],ErrLmp_stMIL,DFES_stEntry_[0],DFES_stEntry_[1],DFES_stEntry_[2],DFES_stEntry_[3],DFES_stEntry_[4]
RBCD022002,2017-03-16 08:19:40.0,121.17457,31.57603,867587021006869,34099248.00,10.26,10.36,1024.00,11.26,0.00,2.17,13580.00,0.00,0.00,71.20,733.80,1006.00,7.01,56.00,0.00,873.20,404.00,0.00,2173198.00,0.00,73.00,12.10,12.10,0.00,0.00,0.00,1280.00,0.00,0.00,807.00,18.62,401100.00,396100.00,114.80,0.00,10.66,10.56,0.20,0.00,726.00,10.56,10.86,12.00,12.65,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,489.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.46,0.00,1.00,1.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:19:46.0,121.17458,31.57604,867587021006869,34099248.00,10.36,10.56,1024.00,11.26,0.00,1.93,13940.00,0.00,0.00,71.00,735.70,1008.00,7.01,56.00,0.00,817.60,426.00,0.00,2173205.00,0.00,72.30,11.10,11.10,0.00,0.00,0.00,1640.00,0.00,0.00,804.00,16.70,400900.00,400200.00,101.20,0.00,10.66,10.56,0.20,0.00,724.00,10.56,10.86,10.90,10.81,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.46,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:19:50.0,121.17459,31.57605,867587021006869,34099248.00,10.36,10.56,1024.00,11.26,0.00,1.85,13940.00,0.00,0.00,70.90,735.10,1008.00,7.01,56.00,0.00,796.00,406.40,0.00,2173208.00,0.00,72.10,10.80,10.80,0.00,0.00,0.00,1510.00,0.00,0.00,804.00,15.99,400500.00,397700.00,96.20,0.00,10.66,10.56,0.20,0.00,724.00,10.56,10.86,10.70,10.38,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.66,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:19:53.0,121.17459,31.57605,867587021006869,34099248.00,10.46,10.56,1024.00,11.26,0.00,1.78,14140.00,0.00,0.00,70.80,735.60,1008.00,7.01,56.00,0.00,795.60,428.40,0.00,2173212.00,0.00,72.10,10.20,10.20,0.00,0.00,0.00,1570.00,0.00,0.00,804.00,15.34,400700.00,404200.00,91.60,0.00,10.86,10.86,0.20,0.00,720.00,10.86,10.86,10.10,9.99,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.66,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:19:57.0,121.1746,31.57607,867587021006869,34099248.00,10.56,10.56,1024.00,11.26,0.00,1.71,14200.00,0.00,0.00,70.80,735.60,1009.00,7.01,56.00,0.00,774.40,396.80,0.00,2173215.00,0.00,72.20,9.70,9.70,0.00,0.00,0.00,1600.00,0.00,0.00,801.50,14.87,400400.00,399400.00,87.40,0.00,11.16,11.66,0.15,0.00,720.00,11.66,10.86,9.70,9.53,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.96,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:20:00.0,121.1746,31.57607,867587021006869,34099248.00,10.66,10.56,1024.00,11.26,0.00,1.66,14160.00,0.00,0.00,70.70,734.50,1008.00,7.01,56.00,0.00,778.80,419.60,0.00,2173219.00,0.00,71.80,9.50,9.50,0.00,0.00,0.00,1790.00,0.00,0.00,803.00,14.38,400300.00,403400.00,84.80,0.00,11.86,12.96,0.15,0.00,718.00,13.06,10.86,9.30,9.15,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.96,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:20:04.0,121.17461,31.57609,867587021006869,34099248.00,10.86,10.56,1024.00,11.26,0.00,1.61,13980.00,0.00,0.00,70.80,735.00,1009.00,7.01,56.00,0.00,757.20,378.40,0.00,2173222.00,0.00,71.80,9.10,9.10,0.00,0.00,0.00,1490.00,0.00,0.00,801.00,14.03,400200.00,401800.00,82.40,0.00,12.86,14.86,0.15,0.00,717.00,14.96,10.86,9.00,8.82,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,9.96,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:20:07.0,121.17462,31.57609,867587021006869,34099248.00,11.06,10.56,1024.00,11.26,0.00,1.56,14120.00,0.00,0.00,70.80,735.00,1008.00,7.01,56.00,0.00,775.20,388.00,0.00,2173226.00,0.00,71.80,8.80,8.80,0.00,0.00,0.00,1490.00,0.00,0.00,803.00,13.49,400100.00,389600.00,79.50,0.00,14.06,17.26,0.15,0.00,717.00,17.36,10.96,8.70,8.54,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,10.16,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:20:11.0,121.17462,31.57609,867587021006869,34099248.00,11.26,10.56,1024.00,11.26,0.00,1.51,14180.00,0.00,0.00,71.00,734.80,1009.00,7.01,56.00,0.00,808.00,368.00,0.00,2173229.00,0.00,71.90,8.40,8.40,0.00,0.00,0.00,1720.00,0.00,0.00,801.50,13.21,400600.00,402600.00,76.60,0.00,15.26,19.76,0.15,0.00,715.00,19.76,10.96,8.40,8.14,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,10.16,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
RBCD022002,2017-03-16 08:20:14.0,121.17462,31.5761,867587021006869,34099248.00,11.46,10.56,1024.00,11.26,0.00,1.48,14000.00,0.00,0.00,70.50,735.70,1009.00,6.99,56.00,0.00,768.80,388.40,0.00,2173233.00,0.00,71.50,8.60,8.60,0.00,0.00,0.00,1480.00,0.00,0.00,803.00,13.02,401000.00,404200.00,74.70,0.00,16.46,22.16,0.15,0.00,715.00,22.26,10.96,8.30,8.07,0.05,0.00,52323.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,505.00,0.00,-186.00,1.00,0.00,0.00,1.00,255.00,1.00,9.46,10.16,0.00,1.00,0.00,4999.80,4999.80,4999.80,4999.80,255.00,0.00,11.00,1049979.00,0.00,163.00,691.00,163.00,108.00,302.00,691.00,163.00,691.00,163.00,691.00,0.00,1.00,1.00,1.00,1.00,129.00
